"Código","País","Programa","Área","Oferente","Tipo curso","Título","Inicio","Fin","Duración","Idioma","Entrega documentos","Fecha comité becas","Institución","Ciudad","Cantidad","Porcentaje","Cubrimiento","Observaciones"
"4500718","Rusia (Federación Rusa)","ESTUDIOS DE PREGRADO EN DIFERENTES ÁREAS EN RUSIA","PREGRADO EN DIFERENTES AREAS","GOBIERNO DE LA FEDERACIÓN DE RUSIA","Presencial","TÍTULO OTORGADO POR LA UNIVERSIDAD RESPECTIVA","2018-09-17","2024-09-27","4 - 6","Ruso","2018-04-02","2018-04-12","DIFERENTES CENTROS DOCENTES E INSTITUCIONES","DIFERENTES CIUDADES - RUSIA","5","75%","PARCIAL","ÚNICAMENTE se otorgarán 5 becas para el programa de MEDICINA CLÍNICA."
"6001618","España (Reino de España)","MAESTRÍAS EN ADMINISTRACIÓN Y ÁREAS AFINES EN ESIC BUSINESS & MARKETING SCHOOL","ADMINISTRACIÓN","ESIC BUSINESS & MARKETING SCHOOL","Presencial","TÍTULO OFICIAL","2018-10-02","2019-07-31","9 - 12","INGLÉS Y ESPAÑOL","2018-06-13","2018-06-28","ESIC BUSINESS & MARKETING SCHOOL","Madrid - ESIC","5","50%","PARCIAL","Se otorgarán 5 becas parciales para los siguientes programas: 1. MBA (Español) 2. International MBA (Inglés) – este último se dicta 60% en Madrid y 40% en Shanghai (China)."
"6001618","España (Reino de España)","MAESTRÍAS EN ADMINISTRACIÓN Y ÁREAS AFINES EN ESIC BUSINESS & MARKETING SCHOOL","ADMINISTRACIÓN","ESIC BUSINESS & MARKETING SCHOOL","Presencial","TÍTULO OFICIAL","2018-10-02","2019-07-31","9 - 12","INGLÉS Y ESPAÑOL","2018-06-13","2018-06-28","ESIC BUSINESS & MARKETING SCHOOL","Madrid - ESIC","5","50%","PARCIAL","Se otorgarán 5 becas del 50% para uno de los siguientes programas Máster: - Máster Universitario en Dirección de Personas y Desarrollo Organizativo - Máster Universitario en Dirección de Comunicación y Nuevas Tecnologías - Máster Universitario en Dirección de Marketing y Gestión Comercial."
"6120018","Puerto Rico (Estado Libre Asociado de Puerto Rico)","MAESTRÍAS EN DIFERENTES ÁREAS","MAESTRÍAS EN DIFERENTES ÁREAS","UNIVERSIDAD ANA G. MÉNDEZ","Virtual","TÍTULO OTORGADO POR ESTA UNIVERSIDAD","2018-08-13","2020-12-18","18 - 24","Español","2018-04-16","2018-04-26","UNIVERSIDAD ANA G. MÉNDEZ - SISTEMA UNIVERSITARIO ANA G. MÉNDEZ","San Juan","25","50%","PARCIAL","La UAGM cubrirá el 50 % del costo de matrícula. El 50% restante deberá ser pagado por el aspirante. El solicitante será responsable de cubrir los rubros, así como cualquier otro gasto que no esté incluido en esta beca. Los costos de las carreras fluctúan desde USD$11,440 y USD$12,220."
"6120518","España (Reino de España)","MAESTRÍAS EN CIENCIAS DE LA ADMINISTRACIÓN E INGENIERÍA EN LA UNIVERSIDAD DE LA CORUÑA","ADMINISTRACIÓN - INGENIERÍA Y AFINES","UNIVERSIDAD DE LA CORUÑA - CAMPUS FERROL","Presencial","TÍTULO OFICIAL","2018-09-03","2019-12-20","12 - 18","Español","2018-04-26","2018-05-10","UNIVERSIDAD DE LA CORUÑA","FERROL","2","50%","PARCIAL"," "
"6121218","España (Reino de España)","ESTUDIOS DE MAESTRÍA EN ENAE BUSINESS SCHOOL","MAESTRÍAS EN DIFERENTES ÁREAS","ENAE BUSINESS SCHOOL","Presencial y virtual","TÍTULO PROPIO","2018-09-24","2020-07-31","15 Mes(es)","Español","2018-05-30","2018-06-14","ENAE BUSINESS SCHOOL","Murcia","10","40%","PARCIAL","Se otorgarán 10 becas del 40% de exención de matrícula para programas de maestría semipresenciales. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121218","España (Reino de España)","ESTUDIOS DE MAESTRÍA EN ENAE BUSINESS SCHOOL","MAESTRÍAS EN DIFERENTES ÁREAS","ENAE BUSINESS SCHOOL","Presencial y virtual","TÍTULO PROPIO","2018-09-24","2020-07-31","15 Mes(es)","Español","2018-05-30","2018-06-14","ENAE BUSINESS SCHOOL","Murcia","10","40%","PARCIAL","Se otorgarán 10 becas del 40% de exención de matrícula para programas de maestría presenciales. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121218","España (Reino de España)","ESTUDIOS DE MAESTRÍA EN ENAE BUSINESS SCHOOL","MAESTRÍAS EN DIFERENTES ÁREAS","ENAE BUSINESS SCHOOL","Presencial y virtual","TÍTULO PROPIO","2018-09-24","2020-07-31","15 Mes(es)","Español","2018-05-30","2018-06-14","ENAE BUSINESS SCHOOL","Murcia","1","100%","COMPLETA","Se otorgará 1 beca del 100% de exención de matrícula para maestrías presenciales, además de dar al estudiante de una cantidad para cubrir su alojamiento.NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121218","España (Reino de España)","ESTUDIOS DE MAESTRÍA EN ENAE BUSINESS SCHOOL","MAESTRÍAS EN DIFERENTES ÁREAS","ENAE BUSINESS SCHOOL","Presencial y virtual","TÍTULO PROPIO","2018-09-24","2020-07-31","15 Mes(es)","Español","2018-05-30","2018-06-14","ENAE BUSINESS SCHOOL","Murcia","1","100%","COMPLETA","Se otorgará 1 beca del 100% de exención de matrícula para programas impartidos en Murcia. NOTA: El porcentaje se adjudicará con base en el puntaje final de preselección obtenido por cada estudiante de acuerdo con los parámetros señalados en esta convocatoria."
"6121318","España (Reino de España)","MBA - MÁSTER EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESA","ADMINISTRACIÓN - ECONOMÍA","ESCUELA DE NEGOCIOS IESIDE","Presencial","TÍTULO OFICIAL","2018-10-01","2019-12-31","15 Mes(es)","Español","2018-06-12","2018-06-28","ESCUELA DE NEGOCIOS IESIDE","VIGO - LA CORUÑA","1","100%","COMPLETA","ÚNICAMENTE cubre exención de matrícula y costos académicos. NOTA: LOS PORCENTAJES DE EXENCIÓN DE MATRÍCULA SE ADJUDICARÁN CON BASE EN EL PUNTAJE FINAL DE PRESELECCIÓN OBTENIDO POR CADA ESTUDIANTE DE ACUERDO CON LOS PARÁMETROS SEÑALADOS EN ESTA CONVOCATORIA."
